Year,Player,Team,Position,Bid_Amount
2022,Lamar Jackson,Fairview Fat Cats,N/A,17
2022,Jalen Hurts,Goleta Gringos,N/A,16
2022,DK Metcalf,Goleta Gringos,N/A,15
2022,Darren Waller,Goleta Gringos,N/A,8
2022,Terry McLaurin,San Diego Shadowcöcks,N/A,24
2022,Tyreek Hill,Tijuana Sanchitos,N/A,33
2022,Packers D/ST,Tittsburgh Feelers,N/A,1
2022,Daniel Carlson,Fairview Fat Cats,N/A,2
2022,Antonio Gibson,Goleta Gringos,N/A,13
2022,David Montgomery,Goleta Gringos,N/A,27
2022,Travis Etienne Jr.,Honolulu Horndogs,N/A,28
2022,Rhamondre Stevenson,Chula Vista Chupacabras,N/A,8
2022,Kyler Murray,Westeros  Warlords,N/A,13
2022,Breece Hall,Fairview Fat Cats,N/A,27
2022,James Conner,Chula Vista Chupacabras,N/A,39
2022,Cam Akers,Squaw Valley Skinners,N/A,36
2022,Travis Kelce,Squaw Valley Skinners,N/A,36
2022,Mike Evans,Pasco Pounders,N/A,25
2022,Brandon McManus,Tittsburgh Feelers,N/A,1
2022,CeeDee Lamb,Honolulu Horndogs,N/A,32
2022,Jerry Jeudy,Westeros  Warlords,N/A,19
2022,Josh Jacobs,Tittsburgh Feelers,N/A,22
2022,Elijah Mitchell,Poulsbo Polliwogs,N/A,23
2022,Tee Higgins,Goleta Gringos,N/A,19
2022,Hunter Renfrow,Tijuana Sanchitos,N/A,9
2022,Justin Herbert,Honolulu Horndogs,N/A,11
2022,Kyle Pitts,Tittsburgh Feelers,N/A,29
2022,J.K. Dobbins,Westeros  Warlords,N/A,17
2022,Marquise Brown,Poulsbo Polliwogs,N/A,9
2022,Kenneth Walker III,San Diego Shadowcöcks,N/A,4
2022,Russell Wilson,Tijuana Sanchitos,N/A,4
2022,A.J. Brown,Goleta Gringos,N/A,14
2022,Chase Edmonds,Pasco Pounders,N/A,15
2022,Miles Sanders,Honolulu Horndogs,N/A,10
2022,Keenan Allen,Poulsbo Polliwogs,N/A,22
2022,Michael Pittman Jr.,Fairview Fat Cats,N/A,21
2022,Joe Burrow,Pasco Pounders,N/A,3
2022,Matt Gay,Honolulu Horndogs,N/A,1
2022,Clyde Edwards-Helaire,Pasco Pounders,N/A,16
2022,Devin Singletary,San Diego Shadowcöcks,N/A,5
2022,DJ Moore,Tittsburgh Feelers,N/A,12
2022,Amon-Ra St. Brown,Fairview Fat Cats,N/A,11
2022,Dak Prescott,Tijuana Sanchitos,N/A,2
2022,David Njoku,San Diego Shadowcöcks,N/A,2
2022,Jaylen Waddle,Chula Vista Chupacabras,N/A,7
2022,Mike Williams,DC Mighty Cucks,N/A,15
2022,George Kittle,Squaw Valley Skinners,N/A,14
2022,Darnell Mooney,Tijuana Sanchitos,N/A,6
2022,Allen Lazard,Goleta Gringos,N/A,7
2022,JuJu Smith-Schuster,Honolulu Horndogs,N/A,8
2022,Patrick Mahomes,Chula Vista Chupacabras,N/A,13
2022,Tom Brady,Squaw Valley Skinners,N/A,3
2022,Brandin Cooks,DC Mighty Cucks,N/A,4
2022,Colts D/ST,Chula Vista Chupacabras,N/A,2
2022,Robert Woods,Pasco Pounders,N/A,3
2022,Nyheim Hines,Pasco Pounders,N/A,5
2022,T.J. Hockenson,Poulsbo Polliwogs,N/A,6
2022,James Robinson,Goleta Gringos,N/A,7
2022,Aaron Rodgers,Tittsburgh Feelers,N/A,2
2022,Chris Olave,Fairview Fat Cats,N/A,3
2022,DeAndre Hopkins,Tijuana Sanchitos,N/A,8
2022,Damien Harris,Honolulu Horndogs,N/A,6
2022,Trey Lance,DC Mighty Cucks,N/A,1
2022,Darrell Henderson Jr.,Squaw Valley Skinners,N/A,3
2022,Brandon Aiyuk,Chula Vista Chupacabras,N/A,3
2022,Harrison Butker,DC Mighty Cucks,N/A,2
2022,Treylon Burks,Goleta Gringos,N/A,2
2022,Cole Kmet,Tijuana Sanchitos,N/A,3
2022,Rashaad Penny,Goleta Gringos,N/A,7
2022,Chase Claypool,Chula Vista Chupacabras,N/A,1
2022,Trevor Lawrence,Poulsbo Polliwogs,N/A,1
2022,Drake London,San Diego Shadowcöcks,N/A,2
2022,Tony Pollard,DC Mighty Cucks,N/A,4
2022,Chris Godwin,Pasco Pounders,N/A,6
2022,AJ Dillon,DC Mighty Cucks,N/A,13
2022,Dalton Schultz,Chula Vista Chupacabras,N/A,4
2022,Zach Ertz,San Diego Shadowcöcks,N/A,3
2022,Kareem Hunt,Pasco Pounders,N/A,13
2022,Tyler Lockett,Tijuana Sanchitos,N/A,3
2022,Dallas Goedert,DC Mighty Cucks,N/A,3
2022,Allen Robinson II,Squaw Valley Skinners,N/A,5
2022,Michael Gallup,San Diego Shadowcöcks,N/A,2
2022,Amari Cooper,Chula Vista Chupacabras,N/A,3
2022,Michael Thomas,DC Mighty Cucks,N/A,5
2022,Dawson Knox,Pasco Pounders,N/A,1
2022,Adam Thielen,Tittsburgh Feelers,N/A,3
2022,Tyler Allgeier,Squaw Valley Skinners,N/A,2
2022,DeVonta Smith,DC Mighty Cucks,N/A,2
2022,Cardinals D/ST,Westeros  Warlords,N/A,1
2022,Elijah Moore,Tittsburgh Feelers,N/A,3
2022,George Pickens,Poulsbo Polliwogs,N/A,2
2022,Pat Freiermuth,Fairview Fat Cats,N/A,2
2022,Raheem Mostert,Chula Vista Chupacabras,N/A,3
2022,Jamaal Williams,San Diego Shadowcöcks,N/A,2
2022,Rashod Bateman,DC Mighty Cucks,N/A,8
2022,Cordarrelle Patterson,Squaw Valley Skinners,N/A,5
2022,Melvin Gordon III,Pasco Pounders,N/A,3
2022,Christian Kirk,Squaw Valley Skinners,N/A,3
2022,Broncos D/ST,DC Mighty Cucks,N/A,1
2022,Kenyan Drake,Tijuana Sanchitos,N/A,2
2022,Skyy Moore,Pasco Pounders,N/A,2
2022,Matthew Stafford,Goleta Gringos,N/A,1
2022,Michael Carter,Chula Vista Chupacabras,N/A,3
2022,Kenneth Gainwell,Fairview Fat Cats,N/A,1
2022,Alexander Mattison,Tijuana Sanchitos,N/A,1
2022,James Cook,DC Mighty Cucks,N/A,4
2022,J.D. McKissic,Poulsbo Polliwogs,N/A,1
2022,Ravens D/ST,San Diego Shadowcöcks,N/A,1
2022,Tyler Bass,Pasco Pounders,N/A,1
2022,Kadarius Toney,Honolulu Horndogs,N/A,2
2022,Brian Robinson Jr.,Squaw Valley Skinners,N/A,1
2022,Noah Fant,Westeros  Warlords,N/A,1
2022,Greg Joseph,Goleta Gringos,N/A,1
2022,Zamir White,Tittsburgh Feelers,N/A,1
2022,Julio Jones,Fairview Fat Cats,N/A,1
2022,Khalil Herbert,Chula Vista Chupacabras,N/A,3
2022,Marquez Valdes-Scantling,Poulsbo Polliwogs,N/A,1
2022,Garrett Wilson,San Diego Shadowcöcks,N/A,1
2022,Cowboys D/ST,Pasco Pounders,N/A,1
2022,Mark Ingram II,Honolulu Horndogs,N/A,1
2022,Isiah Pacheco,Squaw Valley Skinners,N/A,1
2022,Rondale Moore,Westeros  Warlords,N/A,1
2022,Dolphins D/ST,Goleta Gringos,N/A,1
2022,Rachaad White,Tittsburgh Feelers,N/A,2
2022,KJ Hamler,Fairview Fat Cats,N/A,1
2022,Tyler Boyd,Poulsbo Polliwogs,N/A,1
2022,Matt Prater,San Diego Shadowcöcks,N/A,1
2022,Romeo Doubs,Honolulu Horndogs,N/A,1
2022,Nick Folk,Squaw Valley Skinners,N/A,1
2022,DJ Chark,Tittsburgh Feelers,N/A,2
